node_1,node_2
0,162
1,152
2,152
3,152
4,164
5,155
6,155
7,156
8,161
9,166
10,158
11,165
12,167
13,165
14,165
15,163
16,163
17,158
18,166
19,166
20,166
21,166
22,166
23,166
24,166
25,157
26,161
27,161
28,161
29,161
30,161
31,161
32,156
33,156
34,156
35,156
36,159
37,155
38,155
39,155
40,155
41,155
42,155
43,155
44,155
45,155
46,155
47,155
48,155
49,155
50,154
51,154
52,154
53,154
54,154
55,154
56,152
57,162
58,162
59,162
60,162
61,162
62,162
63,162
64,162
65,162
66,162
67,162
68,160
69,153
70,153
71,153
72,153
73,153
74,153
75,153
76,153
77,153
78,153
79,153
80,153
81,153
82,153
83,152
83,153
83,154
83,155
83,156
83,157
83,158
83,159
83,160
83,161
83,162
83,163
83,164
83,165
83,166
83,167
84,168
85,168
86,168
87,168
88,178
89,171
90,171
91,179
92,181
93,173
94,173
95,176
96,182
97,182
98,182
99,182
100,182
101,182
102,182
103,182
104,175
105,180
106,180
107,181
108,181
109,177
110,179
111,179
112,179
113,179
114,179
115,179
116,179
117,179
118,172
119,172
120,172
121,172
122,172
123,174
124,171
125,171
126,171
127,171
128,171
129,171
130,171
131,171
132,171
133,171
134,178
135,178
136,178
137,178
138,168
139,168
140,170
141,169
142,169
143,169
144,169
145,169
146,169
147,169
148,169
149,169
150,169
151,168
151,169
151,170
151,171
151,172
151,173
151,174
151,175
151,176
151,177
151,178
151,179
151,180
151,181
151,182
152,182
152,173
